name,tags,alcohol,id,brewery_id,brewery_Name,image,Total Quantity,Remaining Quantity,Price
Bons Voeux,blonde,9.5,250,130,Brasserie Dupont,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Boerke Blond,blonde,6.8,233,287,Brouwerij Angerik,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Leffe Blond,"blonde, abbey",6.6,945,216,AB InBev,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Watou's Wit,white,5,1662,219,Brouwerij Van Eecke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Leffe Ruby,"fruit beer, abbey",6.5,951,216,AB InBev,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Jeanke,Blonde,,770,6,Brasserie St. Jean,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
De Nacht,winter,5.2,456,51,Brouwerij Vissenaken,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Lou Pepe,geuze,5,991,170,Brasserie Cantillon,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Leffe 9°,high fermentation,9,954,216,AB InBev,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vat 44,geuze,8,1610,348,Brouwerij Boon,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Scotch C.T.S.,scotch,7.2,1343,216,AB InBev,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Stropken,amber,7,1461,244,Brouwerij Bios,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Maredsous blond,blonde,6,1021,3,Brouwerij Duvel Moortgat,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Witheer,white,5,1689,52,Scheldebrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Goedendag,gold blonde,8,633,191,Brouwerij Toye,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Hofnar,amber,9,729,96,t Hofbrouwerijke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vlaskop,white,5.5,1645,2,Brouwerij Strubbe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Belle-Vue Kriek,kriek,5.2,146,14,Brouwerij Belle-Vue (AB InBev),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Vauban,abbey,6,932,224,Brasserie de Bouillon,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Grisette Blanche,white,5,678,319,Brasserie St-Feuillien,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Poperings Hommelbier,high fermentation,7.5,1242,219,Brouwerij Van Eecke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vicaris Tripel,"high fermentation, triple",8.5,1619,31,Brouwerij Dilewyns,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Hotteuse Grand Cru,dark,8,747,19,Affligem Brewery (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Rulles Estivale,high fermentation,5.2,917,144,Brasserie Artisanale de Rulles,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Meuuh!,white,5.5,1040,214,Brasserie Saint-Monon for Confrérie du Busson,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bruin Leroy,table beer,1.8,283,257,Brouwerij Het Sas,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
t Smisje Speciaal,high fermentation,10.5,1502,190,Brouwerij De Regenboog,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Postel Dubbel,"brown, abbey",7,1238,19,Affligem Brewery (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ceci n'est pas une stout,stout,6.5,344,96,t Hofbrouwerijke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Gouyasse Tradition,"high fermentation, blonde",6,661,198,Brasserie des Géants,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Anker Herfstbok,"brown special, bock",6.5,68,161,Brouwerij Het Anker,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Tournay,high fermentation,6.7,1541,309,Brasserie de Cazeau,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Gordon Five,pils,5,649,91,Group John Martin,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Flodder,high fermentation,8,565,338,De Proefbrouwerij for bierfirma VALOCCO,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Spioenkopje,"fruit beer, white",5,1399,125,Brouwerij Strubbe for den Haene,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Abbaye de Saint-Martin Triple,"abbey, triple",9,20,349,Brasserie de Brunehaut,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
